currencyPurchase,pricePurchase,expensesCurrency,expensesPrice,direcction,coveredArea,bedrooms,antiquity,toilets,environments,garages,condition,provision,provision_Contra Frente ,provision_Contrafrente ,provision_Frente ,provision_Interno ,provision_Lateral ,condition_ ,condition_A Refaccionar ,condition_Bueno ,condition_Excelente ,condition_Muy Bueno ,condition_Regular 
USD,60.000,$,12.636,CERVIÑO al 3900,31,1,10000,1,2,0, ,,0,0,0,0,0,1,0,0,0,0,0
USD,69.900,$,3.0,AV. CORDOBA al 5300,36,1,10000,1,2,0, ,,0,0,0,0,0,1,0,0,0,0,0
USD,238.000,$,44.0,REPUBLICA DE LA INDIA  al 3000,102,3,10000,2,5,1, ,,0,0,0,0,0,1,0,0,0,0,0
USD,119.900,$,32.0,Arce 700,43,1,10000,1,2,1, ,,0,0,0,0,0,1,0,0,0,0,0
Consultar,precio,$,32.0,JORGE NEWBERY 1600,59,1,10000,2,2,0,Excelente ,Frente ,0,0,1,0,0,0,0,0,1,0,0
USD,1.100.000,$,82.0,Gelly 3500,228,5,10000,5,6,3, ,,0,0,0,0,0,1,0,0,0,0,0
USD,920.000,$,50.0,Av. Libertador al 3700 entre Sinclair y Godoy Cruz,217,4,30,4,6,2, ,Frente ,0,0,1,0,0,1,0,0,0,0,0
USD,970.000,$,140.0,Cavia 3099,265,4,10000,3,5,2, ,,0,0,0,0,0,1,0,0,0,0,0
USD,380.000,$,13.0,Uriarte al 1300  PISO 3 D,87,2,10,1,3,1, ,Frente ,0,0,1,0,0,1,0,0,0,0,0
USD,330.000,$,46.0,"Juan Francisco Segui 3500, Piso 7",107,3,10000,2,4,1,Excelente ,Frente ,0,0,1,0,0,0,0,0,1,0,0
USD,84.000,$,11.0,"Cabrera 3900, Piso 5",32,Monoambiente,10000,1,1,0,Excelente ,,0,0,0,0,0,0,0,0,1,0,0
USD,145.000,$,26.0,SANTAMARIA DE ORO al 2500,87,3,10000,2,4,0, ,Frente ,0,0,1,0,0,1,0,0,0,0,0
USD,99.000,$,12.275,THAMES al 2000,45,1,10000,1,2,0, ,Contrafrente ,0,1,0,0,0,1,0,0,0,0,0
USD,254.900,$,49.0,Paraguay 4300,70,2,10000,2,3,1, ,,0,0,0,0,0,1,0,0,0,0,0
USD,219.000,$,16.0,Avenida Santa Fe 4400,90,3,10000,2,4,0, ,,0,0,0,0,0,1,0,0,0,0,0
USD,583.000,$,65.0,Salguero al 3000,118,3,10000,3,4,1, ,,0,0,0,0,0,1,0,0,0,0,0
USD,129.500,$,10.323,NICARAGUA al 4300,52,2,10000,1,3,0, ,Frente ,0,0,1,0,0,1,0,0,0,0,0
USD,198.000,$,45.0,Paraguay 3500,94,3,10000,3,5,1,A Refaccionar ,Frente ,0,0,1,0,0,0,1,0,0,0,0
USD,230.000,$,16.0,"Soler  6000 1°  6000, Piso 1",70,2,10000,2,3,0,Excelente ,Frente ,0,0,1,0,0,0,0,0,1,0,0
USD,230.400,$,32.0,Soler al 5500,58,1,10000,1,2,0, ,Frente ,0,0,1,0,0,1,0,0,0,0,0
USD,128.000,$,32.0,Av Niceto Vega 5700,37,1,10000,1,2,0, ,,0,0,0,0,0,1,0,0,0,0,0
USD,98.000,$,9.0,Scalabrini Ortiz al 1400,32,Monoambiente,10000,1,1,0, ,Contrafrente ,0,1,0,0,0,1,0,0,0,0,0
USD,86.000,$,32.0,"Guatemala 4300, Piso 2",28,Monoambiente,10000,1,1,0,Excelente ,Contra Frente ,1,0,0,0,0,0,0,0,1,0,0
USD,67.900,$,7.5,Godoy Cruz al 2900,40,1,10000,1,2,0, ,Contrafrente ,0,1,0,0,0,1,0,0,0,0,0
USD,75.000,$,32.0,"Av Las Heras 3400, Piso 9",40,1,10000,1,2,0, ,,0,0,0,0,0,1,0,0,0,0,0
USD,340.000,$,32.0,el salvador  al 4500,68,2,10000,2,3,1, ,,0,0,0,0,0,1,0,0,0,0,0
USD,85.000,$,32.0,Avenida Cordoba 4100,46,Monoambiente,10000,1,1,0, ,,0,0,0,0,0,1,0,0,0,0,0
USD,125.000,$,32.0,Charcas 5200,56,2,10000,1,3,0, ,,0,0,0,0,0,1,0,0,0,0,0
USD,99.000,$,32.0,BULNES al 1200,46,1,10000,1,2,0, ,,0,0,0,0,0,1,0,0,0,0,0
USD,99.000,$,32.0,BULNES al 1200,44,Monoambiente,10000,1,1,0, ,,0,0,0,0,0,1,0,0,0,0,0
USD,249.900,$,30.5,Ortiz de Ocampo 2500,117,3,10000,3,4,0, ,,0,0,0,0,0,1,0,0,0,0,0
USD,342.000,$,32.0,"Av. Santa Fe 2600  PB , Piso PB",128,3,50,2,4,0,Bueno ,Contrafrente ,0,1,0,0,0,0,0,1,0,0,0
USD,490.000,$,80.0,REPÚBLICA DE LA INDIA 3000,193,4,10000,2,5,1,Muy Bueno ,Frente ,0,0,1,0,0,0,0,0,0,1,0
